login,password,name,surname,address,city,card_num,exp_date,depart_city,arrival_city,return_date,seat_pref,seat_type,depart_date
jojo32,bean32,Jojo32,Bean32,Green street32,Moscow32,1140 2222 3333 0001,03/48,Los Angeles,Portland,07/21/2052,None,Business,01/21/2052
jojo33,bean33,Jojo33,Bean33,Green street33,Moscow33,1141 2222 3333 0001,03/49,Paris,San Francisco,07/21/2053,Window,First,01/21/2053
jojo34,bean34,Jojo34,Bean34,Green street34,Moscow34,1112 2222 3333 0002,02/21,Frankfurt,Zurich,07/21/2054,Aisle,Business,01/21/2054
jojo35,bean35,Jojo35,Bean35,Green street35,Moscow35,1139 2222 3333 0001,03/47,London,Paris,07/21/2055,None,Coach,01/21/2055
jojo36,bean36,Jojo36,Bean36,Green street36,Moscow36,1140 2222 3333 0001,03/48,Los Angeles,Portland,07/21/2056,None,Business,01/21/2056
jojo37,bean37,Jojo37,Bean37,Green street37,Moscow37,1141 2222 3333 0001,03/49,Paris,San Francisco,07/21/2057,Window,First,01/21/2057
jojo38,bean38,Jojo38,Bean38,Green street38,Moscow38,1142 2222 3333 0001,03/50,Portland,Seattle,07/21/2058,Aisle,Coach,01/21/2058
jojo39,bean39,Jojo39,Bean39,Green street39,Moscow39,1143 2222 3333 0001,03/51,San Francisco,Sydney,07/21/2059,Aisle,Coach,01/21/2059
jojo40,bean40,Jojo40,Bean40,Green street40,Moscow40,1144 2222 3333 0001,03/52,London,Zurich,07/21/2060,None,Business,01/21/2060
jojo41,bean41,Jojo41,Bean41,Green street41,Moscow41,1112 2222 3333 0002,02/21,Frankfurt,Zurich,07/21/2061,Aisle,Business,01/21/2061
jojo42,bean42,Jojo42,Bean42,Green street42,Moscow42,1139 2222 3333 0001,03/47,London,Paris,07/21/2062,None,Coach,01/21/2062
jojo43,bean43,Jojo43,Bean43,Green street43,Moscow43,1140 2222 3333 0001,03/48,Los Angeles,Portland,07/21/2063,None,Business,01/21/2063
jojo44,bean44,Jojo44,Bean44,Green street44,Moscow44,1141 2222 3333 0001,03/49,Paris,San Francisco,07/21/2064,Window,First,01/21/2064
jojo45,bean45,Jojo45,Bean45,Green street45,Moscow45,1142 2222 3333 0001,03/50,Portland,Seattle,07/21/2065,Aisle,Coach,01/21/2065
jojo46,bean46,Jojo46,Bean46,Green street46,Moscow46,1143 2222 3333 0001,03/51,San Francisco,Sydney,07/21/2066,Aisle,Coach,01/21/2066
jojo47,bean47,Jojo47,Bean47,Green street47,Moscow47,1144 2222 3333 0001,03/52,London,Zurich,07/21/2067,None,Business,01/21/2067
jojo48,bean48,Jojo48,Bean48,Green street48,Moscow48,1112 2222 3333 0002,02/21,Frankfurt,Zurich,07/21/2068,Aisle,Business,01/21/2068
jojo49,bean49,Jojo49,Bean49,Green street49,Moscow49,1139 2222 3333 0001,03/47,London,Paris,07/21/2069,None,Coach,01/21/2069
